"date","time","country","age","n_group","n_manta","dive_level","is_first_time","pc","pick_n_divers","n_diver_A","n_diver_B","n_diver_C","n_diver_D","n_diver_E","n_diver_F","pick_n_boats","n_boats_A","n_boats_B","n_boats_C","n_boats_D","n_boats_E","n_boats_F","dc","diver_norms","boat_norms","date_time","obs_boat","boat_RE","diver_RE","fewer_boat_UL","more_boat_UL","fewer_boat_RE","more_boat_RE","fewer_diver_RE","more_diver_RE"
"09/17/2024","11:30","Spain",45,3,5,"Advanced Open Water Diver","Y",6,1,0,0,0,0,0,0,4,4,4,-4,-4,-4,-4,"BC",NA,25,"2024-09-17 11:30:00",50,35,2,FALSE,TRUE,FALSE,TRUE,NA,NA
"09/18/2024","07:30","China",32,3,5,"Advanced Open Water Diver","N",6,3,4,2,1,-4,-4,-4,2,4,2,-2,-4,-4,-4,"DC",6.8,20,"2024-09-18 07:30:00",NA,15,6,NA,NA,TRUE,FALSE,TRUE,FALSE
"09/18/2024","08:00","Belgium",23,4,5,"Open Water Diver","Y",5,1,4,3,0,-1,-1,-3,2,3,1,-1,1,-2,-3,"WD",6,25,"2024-09-18 08:00:00",NA,15,2,NA,NA,TRUE,FALSE,TRUE,FALSE
"09/18/2024","08:00","Germany",30,5,5,"Open Water Diver","Y",7,5,4,4,1,0,0,-1,5,4,1,0,0,-2,-2,"WD",9,30,"2024-09-18 08:00:00",NA,45,10,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/18/2024","08:00","Germany",32,4,8,"Advanced Open Water Diver","Y",7,3,2,-1,-3,-4,-4,-4,NA,4,-1,-2,-4,-4,-4,"WD",3.33333333333333,13,"2024-09-18 08:00:00",NA,NA,6,NA,NA,NA,NA,FALSE,TRUE
"09/18/2024","08:00","Belgium",30,4,5,"Open Water Diver","Y",5,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"2024-09-18 08:00:00",NA,25,6,NA,NA,NA,NA,NA,NA
"09/18/2024","08:00","Belgium",35,5,5,"Open Water Diver","Y",5,5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"2024-09-18 08:00:00",NA,15,10,NA,NA,NA,NA,NA,NA
"09/18/2024","08:00","Ireland",32,4,4,"Advanced Open Water Diver","Y",4,2,4,4,3,0,-1,-1,3,4,1,0,-3,-4,-4,"DC",8,25,"2024-09-18 08:00:00",NA,25,4,NA,NA,TRUE,FALSE,TRUE,FALSE
"09/18/2024","08:00","Brazil",32,2,6,"Try Scuba / DSD","Y",5,4,4,4,2,0,-2,-4,2,4,2,-1,-4,-4,-4,"DC",8,21.6666666666667,"2024-09-18 08:00:00",NA,15,8,NA,NA,TRUE,FALSE,TRUE,FALSE
"09/18/2024","08:00","United States",33,2,6,"Try Scuba / DSD","Y",6,2,4,3,2,-4,-4,-4,NA,4,3,0,-2,-3,-4,"DC",7.33333333333333,25,"2024-09-18 08:00:00",NA,NA,4,NA,NA,NA,NA,TRUE,FALSE
"09/18/2024","08:00","France",31,8,6,"Try Scuba / DSD","Y",6,2,4,4,-1,-4,-3,-4,3,4,2,1,-2,-4,-4,"DC",5.4,28.3333333333333,"2024-09-18 08:00:00",NA,25,4,NA,NA,TRUE,FALSE,TRUE,FALSE
"09/18/2024","08:00","France",29,4,6,"Try Scuba / DSD","Y",6,3,4,2,1,-2,-4,-4,2,4,4,-1,-4,-3,-4,"DC",6.66666666666667,22,"2024-09-18 08:00:00",NA,15,6,NA,NA,TRUE,FALSE,TRUE,FALSE
"09/18/2024","08:00","Switzerland",37,5,8,"Advanced Open Water Diver","Y",6,5,4,4,2,-2,-3,-4,NA,4,2,-1,-2,-3,-4,"DC",7,21.6666666666667,"2024-09-18 08:00:00",NA,NA,10,NA,NA,NA,NA,FALSE,TRUE
"09/18/2024","08:00","Ireland",37,4,3,"Advanced Open Water Diver","N",5,3,4,2,1,-2,-3,-4,4,4,3,2,-2,-3,-4,"DC",6.66666666666667,30,"2024-09-18 08:00:00",NA,35,6,NA,NA,FALSE,TRUE,TRUE,FALSE
"09/18/2024","08:00","United Kingdom",52,7,3,"Advanced Open Water Diver","N",8,3,4,0,-2,-3,-3,-4,4,4,1,-1,-4,-3,-4,"DC",4,20,"2024-09-18 08:00:00",NA,35,6,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/18/2024","09:00","France",24,4,3,"Open Water Diver","Y",4,3,3,2,-1,-2,-2,-4,4,3,2,0,-1,-3,-4,"DC",5.33333333333333,25,"2024-09-18 09:00:00",35,35,6,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/18/2024","09:00","United Kingdom",56,2,5,"Advanced Open Water Diver","Y",3,2,4,4,0,-2,-1,-2,2,4,2,0,-1,-3,-4,"DC",6,25,"2024-09-18 09:00:00",35,15,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"09/18/2024","09:00","Indonesia",21,3,7,"","N",9,6,2,1,-4,-2,-4,-4,6,1,-4,-4,-4,-4,-4,"DC",5.33333333333333,11,"2024-09-18 09:00:00",35,55,12,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
